what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331980635766
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331980642718
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331980646737
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331980648056
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331980648761
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331980648994
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331980649462
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331980649685
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331980650096
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331980650332
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331980650736
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331980650964
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331980651327
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331980651548
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331980651904
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331980652121
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331980652923
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331980654876
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1331980665983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331980667910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331980792903
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331980792952
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331980797511
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331980800529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331980802258
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331980803930
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331980813045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331980873347
error,log,,,"Failed to load properties file for project 'TestTargetWithFragment'",1331980886376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331980886700
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331980897963
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331980898115
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331980899918
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331981614877
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331981617660
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331981617866
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331981621692
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331981628128
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331981628829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331981633672
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331981640632
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331981640958
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331981641108
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331981643239
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331981649037
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331981652950
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1331981652982
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331981655272
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331981659007
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331981664855
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331981668928
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1331981677642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331981679849
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331981884239
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331981886830
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331981892282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331981980169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331981984777
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331982108651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331982123038
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331982125227
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331982144844
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331982146425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331982154667
error,log,,,"Failed to execute ResourceManager.IResouceListener.fileChanged()",1331982154790
error,log,,,"Could not create tab content because could not find view with id -1",1331982166438
error,log,,,"Could not create tab content because could not find view with id -1",1331982166454
opened,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331982167194
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331982167395
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331982167617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331982216648
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331982216716
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331982224876
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331982246645
error,log,,,"Failed to call IFileListener.fileChanged",1331982249775
error,log,,,"Failed to execute ResourceManager.IResouceListener.fileChanged()",1331982250003
error,log,,,"Failed to execute ResourceManager.IResouceListener.fileChanged()",1331982250005
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331982253659
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331982260339
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331982260490
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331982267676
error,log,,,"Failed to call IFileListener.fileChanged",1331982269078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331982269099
error,log,,,"Failed to execute ResourceManager.IResouceListener.fileChanged()",1331982269213
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1331982269870
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1331982271637
error,log,,,"Failed to call IFileListener.fileChanged",1331982272367
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331982272390
error,log,,,"Failed to execute ResourceManager.IResouceListener.fileChanged()",1331982272513
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331982275246
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331982304911
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331982314633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331982323033
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331982325390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331982327523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331982328814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331982328841
error,log,,,"Failed to execute ResourceManager.IResouceListener.fileChanged()",1331982328854
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331982381794
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331982382349
closed,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.layout.LayoutEditor",1331982382349
